Inner product checksum rho =         433107DE
Inner product checksum theta =         4C08DF8F
Inner product checksum u =         606FB526
Inner product checksum mr1 =         3B1C91E7
Inner product checksum mr2 =                0
Inner product checksum mr3 =                0
Inner product checksum mr4 =                0
Inner product checksum mr5 =                0
Inner product checksum mr6 =                0
