Inner product checksum rho =         42F5004A
Inner product checksum theta =         4E23238A
Inner product checksum u =         5EA095A6
Inner product checksum mr1 =         3C8347BC
Inner product checksum mr2 =                0
Inner product checksum mr3 =                0
Inner product checksum mr4 =                0
Inner product checksum mr5 =                0
Inner product checksum mr6 =                0
