Inner product checksum rho =         4334F301
Inner product checksum theta =         4C25DC67
Inner product checksum u =         46234658
Inner product checksum mr1 =         3AB44DA2
Inner product checksum mr2 =                0
Inner product checksum mr3 =                0
Inner product checksum mr4 =                0
Inner product checksum mr5 =                0
Inner product checksum mr6 =                0
